LinkID,TravelSpeed,CongestionLevel,UpdateTime
L_00001A1002050A,-99.0,-99,2026-04-22T12:50:00+08:00
L_00001A1002060A,-99.0,-99,2026-04-22T12:50:00+08:00
L_00001A1102040A,-99.0,-99,2026-04-22T12:50:00+08:00
L_2000100000020A,71.0,1,2026-04-22T12:50:00+08:00
L_2000100000090A,-99.0,-99,2026-04-22T12:50:00+08:00
L_2000100000120A,52.0,4,2026-04-22T12:50:00+08:00
L_2000100000260A,59.0,4,2026-04-22T12:50:00+08:00
L_2000100000320A,51.0,4,2026-04-22T12:50:00+08:00
L_2000100000350A,-99.0,-99,2026-04-22T12:50:00+08:00
L_2000100000390A,-99.0,-99,2026-04-22T12:50:00+08:00
L_2000100000500A,66.0,2,2026-04-22T12:50:00+08:00
L_2000100000560A,-99.0,-99,2026-04-22T12:50:00+08:00
L_2000100000710A,68.0,2,2026-04-22T12:50:00+08:00
L_2000100100000A,62.0,3,2026-04-22T12:50:00+08:00
L_2000100100100A,47.0,5,2026-04-22T12:50:00+08:00
L_2000100100140A,54.0,4,2026-04-22T12:50:00+08:00
L_2000100100300A,60.0,3,2026-04-22T12:50:00+08:00
L_2000100100400A,70.0,1,2026-04-22T12:50:00+08:00
L_2000100100560A,67.0,2,2026-04-22T12:50:00+08:00
L_2000100100680F,-99.0,-99,2026-04-22T12:50:00+08:00
L_2000101001000A,53.0,4,2026-04-22T12:50:00+08:00
L_2000101002000A,49.0,5,2026-04-22T12:50:00+08:00
L_2000101004000A,50.0,4,2026-04-22T12:50:00+08:00
L_2000101005000A,-99.0,-99,2026-04-22T12:50:00+08:00
L_2000101007000A,29.0,6,2026-04-22T12:50:00+08:00
L_2000101007010A,39.0,6,2026-04-22T12:50:00+08:00
L_2000101008000A,-99.0,-99,2026-04-22T12:50:00+08:00
L_2000101008010A,-99.0,-99,2026-04-22T12:50:00+08:00
L_2000101010000A,47.0,5,2026-04-22T12:50:00+08:00
L_2000101011000A,-99.0,-99,2026-04-22T12:50:00+08:00
L_2000101012000A,55.0,4,2026-04-22T12:50:00+08:00
L_2000101013000A,55.0,4,2026-04-22T12:50:00+08:00
L_2000101101000A,49.0,5,2026-04-22T12:50:00+08:00
L_2000101104000A,32.0,6,2026-04-22T12:50:00+08:00
L_2000101112010A,33.0,6,2026-04-22T12:50:00+08:00
L_2000101114000A,46.0,5,2026-04-22T12:50:00+08:00
L_2000200000000A,52.0,4,2026-04-22T12:50:00+08:00
L_2000200000060A,67.0,2,2026-04-22T12:50:00+08:00
L_2000200000150A,-99.0,-99,2026-04-22T12:50:00+08:00
L_2000200000200A,74.0,1,2026-04-22T12:50:00+08:00
L_2000200000230A,73.0,1,2026-04-22T12:50:00+08:00
L_2000200000300A,75.0,1,2026-04-22T12:50:00+08:00
L_2000200000390A,79.0,1,2026-04-22T12:50:00+08:00
L_2000200000400A,72.0,1,2026-04-22T12:50:00+08:00
L_2000200000480A,-99.0,-99,2026-04-22T12:50:00+08:00
L_2000200000500A,-99.0,-99,2026-04-22T12:50:00+08:00
L_2000200000590A,-99.0,-99,2026-04-22T12:50:00+08:00
L_2000200100000A,54.0,4,2026-04-22T12:50:00+08:00
L_2000200100060A,55.0,4,2026-04-22T12:50:00+08:00
L_2000200100100A,68.0,2,2026-04-22T12:50:00+08:00
L_2000200100150A,65.0,2,2026-04-22T12:50:00+08:00
L_2000200100200A,64.0,3,2026-04-22T12:50:00+08:00
L_2000200100230A,71.0,1,2026-04-22T12:50:00+08:00
L_2000200100300A,73.0,1,2026-04-22T12:50:00+08:00
L_2000200100380A,-99.0,-99,2026-04-22T12:50:00+08:00
L_2000200100400A,65.0,2,2026-04-22T12:50:00+08:00
L_2000200100530A,26.0,6,2026-04-22T12:50:00+08:00
L_2000200100610A,72.0,1,2026-04-22T12:50:00+08:00
L_2000201002000A,76.0,1,2026-04-22T12:50:00+08:00
L_2000201003000A,-99.0,-99,2026-04-22T12:50:00+08:00
L_2000201003010A,-99.0,-99,2026-04-22T12:50:00+08:00
L_2000201005000A,-99.0,-99,2026-04-22T12:50:00+08:00
L_2000201007000A,-99.0,-99,2026-04-22T12:50:00+08:00
L_2000201105000A,44.0,5,2026-04-22T12:50:00+08:00
L_2000300000000A,69.0,2,2026-04-22T12:50:00+08:00
L_2000300000100A,68.0,2,2026-04-22T12:50:00+08:00
L_2000300000130A,70.0,1,2026-04-22T12:50:00+08:00
L_2000300000260A,-99.0,-99,2026-04-22T12:50:00+08:00
L_2000300100000A,70.0,1,2026-04-22T12:50:00+08:00
L_2000300100100A,74.0,1,2026-04-22T12:50:00+08:00
L_2000300100130A,75.0,1,2026-04-22T12:50:00+08:00
L_2000300100270A,-99.0,-99,2026-04-22T12:50:00+08:00
L_2000301001000A,37.0,6,2026-04-22T12:50:00+08:00
L_2000301102000A,47.0,5,2026-04-22T12:50:00+08:00
L_2000301104000A,43.0,5,2026-04-22T12:50:00+08:00
L_2000400000000A,-99.0,-99,2026-04-22T12:50:00+08:00
L_2000400000040A,-99.0,-99,2026-04-22T12:50:00+08:00
L_2000400000150A,-99.0,-99,2026-04-22T12:50:00+08:00
L_2000400000240A,65.0,2,2026-04-22T12:50:00+08:00
L_2000400000300A,-99.0,-99,2026-04-22T12:50:00+08:00
L_2000400000310A,-99.0,-99,2026-04-22T12:50:00+08:00
L_2000400000360A,-99.0,-99,2026-04-22T12:50:00+08:00
L_2000400000400A,-99.0,-99,2026-04-22T12:50:00+08:00
L_2000400000480A,-99.0,-99,2026-04-22T12:50:00+08:00
L_2000400000600A,62.0,3,2026-04-22T12:50:00+08:00
L_2000400100000A,50.0,4,2026-04-22T12:50:00+08:00
L_2000400100060A,-99.0,-99,2026-04-22T12:50:00+08:00
L_2000400100150A,-99.0,-99,2026-04-22T12:50:00+08:00
L_2000400100200A,74.0,1,2026-04-22T12:50:00+08:00
L_2000400100260A,65.0,2,2026-04-22T12:50:00+08:00
L_2000400100300A,59.0,4,2026-04-22T12:50:00+08:00
L_2000400100310A,-99.0,-99,2026-04-22T12:50:00+08:00
L_2000400100360A,63.0,3,2026-04-22T12:50:00+08:00
L_2000400100400A,-99.0,-99,2026-04-22T12:50:00+08:00
L_2000400100520A,53.0,4,2026-04-22T12:50:00+08:00
L_2000401004000A,49.0,5,2026-04-22T12:50:00+08:00
L_2000401004010A,67.0,2,2026-04-22T12:50:00+08:00
L_2000401005000A,45.0,5,2026-04-22T12:50:00+08:00
L_2000401007000A,-99.0,-99,2026-04-22T12:50:00+08:00
L_2000401008000A,57.0,4,2026-04-22T12:50:00+08:00
L_2000401010000A,51.0,4,2026-04-22T12:50:00+08:00
L_2000401011000A,71.0,1,2026-04-22T12:50:00+08:00
L_2000401012000A,39.0,6,2026-04-22T12:50:00+08:00
L_2000401012010A,60.0,3,2026-04-22T12:50:00+08:00
L_2000401013000A,69.0,2,2026-04-22T12:50:00+08:00
L_2000401104000A,74.0,1,2026-04-22T12:50:00+08:00
L_2000401106000A,30.0,6,2026-04-22T12:50:00+08:00
L_2000401106010A,42.0,5,2026-04-22T12:50:00+08:00
L_2000401107000A,-99.0,-99,2026-04-22T12:50:00+08:00
L_2000401108000A,54.0,4,2026-04-22T12:50:00+08:00
L_2000401109000A,62.0,3,2026-04-22T12:50:00+08:00
L_2000401110000A,46.0,5,2026-04-22T12:50:00+08:00
L_2000401112000A,56.0,4,2026-04-22T12:50:00+08:00
L_2000401112010A,60.0,3,2026-04-22T12:50:00+08:00
L_2000500000000A,76.0,1,2026-04-22T12:50:00+08:00
L_2000500000170A,75.0,1,2026-04-22T12:50:00+08:00
L_2000500000200A,77.0,1,2026-04-22T12:50:00+08:00
L_2000500000250A,68.0,2,2026-04-22T12:50:00+08:00
L_2000500100000A,78.0,1,2026-04-22T12:50:00+08:00
L_2000500100160A,91.0,1,2026-04-22T12:50:00+08:00
L_2000500100200A,-99.0,-99,2026-04-22T12:50:00+08:00
L_2000500100250A,-99.0,-99,2026-04-22T12:50:00+08:00
L_2000501001000A,71.0,1,2026-04-22T12:50:00+08:00
L_2000501102000A,75.0,1,2026-04-22T12:50:00+08:00
L_2000501104000A,61.0,3,2026-04-22T12:50:00+08:00
L_2000600000000A,59.0,4,2026-04-22T12:50:00+08:00
L_2000600000100A,61.0,3,2026-04-22T12:50:00+08:00
L_2000600100000A,56.0,4,2026-04-22T12:50:00+08:00
L_2000600100070A,66.0,2,2026-04-22T12:50:00+08:00
L_2000600100130A,63.0,3,2026-04-22T12:50:00+08:00
L_2000601004000A,54.0,4,2026-04-22T12:50:00+08:00
L_2000601005000A,43.0,5,2026-04-22T12:50:00+08:00
L_2000601102000A,-99.0,-99,2026-04-22T12:50:00+08:00
L_2000601103000A,30.0,6,2026-04-22T12:50:00+08:00
L_2000601105010A,51.0,4,2026-04-22T12:50:00+08:00
L_2000700000000A,-99.0,-99,2026-04-22T12:50:00+08:00
L_2000700000060A,44.0,5,2026-04-22T12:50:00+08:00
L_2000700000080A,-99.0,-99,2026-04-22T12:50:00+08:00
L_2000700000100A,-99.0,-99,2026-04-22T12:50:00+08:00
L_2000700000130A,-99.0,-99,2026-04-22T12:50:00+08:00
L_2000700000180A,-99.0,-99,2026-04-22T12:50:00+08:00
L_2000700000200A,41.0,5,2026-04-22T12:50:00+08:00
L_2000700000280A,-99.0,-99,2026-04-22T12:50:00+08:00
L_2000700000300A,68.0,2,2026-04-22T12:50:00+08:00
L_2000700000400A,-99.0,-99,2026-04-22T12:50:00+08:00
L_2000700100000A,53.0,4,2026-04-22T12:50:00+08:00
L_2000700100060A,44.0,5,2026-04-22T12:50:00+08:00
L_2000700100080A,63.0,3,2026-04-22T12:50:00+08:00
L_2000700100100A,-99.0,-99,2026-04-22T12:50:00+08:00
L_2000700100130A,52.0,4,2026-04-22T12:50:00+08:00
L_2000700100180A,-99.0,-99,2026-04-22T12:50:00+08:00
L_2000700100200A,36.0,6,2026-04-22T12:50:00+08:00
L_2000700100210A,57.0,4,2026-04-22T12:50:00+08:00
L_2000700100300A,-99.0,-99,2026-04-22T12:50:00+08:00
L_2000700100400A,78.0,1,2026-04-22T12:50:00+08:00
L_2000701008000A,-99.0,-99,2026-04-22T12:50:00+08:00
L_2000701012000A,-99.0,-99,2026-04-22T12:50:00+08:00
L_2000800000060A,43.0,5,2026-04-22T12:50:00+08:00
L_2000800000100A,68.0,2,2026-04-22T12:50:00+08:00
L_2000800000200A,77.0,1,2026-04-22T12:50:00+08:00
L_2000800000300A,73.0,1,2026-04-22T12:50:00+08:00
L_2000800000330A,68.0,2,2026-04-22T12:50:00+08:00
L_2000800000390A,62.0,3,2026-04-22T12:50:00+08:00
L_2000800100110A,67.0,2,2026-04-22T12:50:00+08:00
L_2000800100170A,67.0,2,2026-04-22T12:50:00+08:00
L_2000800100290A,69.0,2,2026-04-22T12:50:00+08:00
L_2000800100330A,71.0,1,2026-04-22T12:50:00+08:00
L_2000800100400A,63.0,3,2026-04-22T12:50:00+08:00
L_2000801005000A,51.0,4,2026-04-22T12:50:00+08:00
L_2000801008000A,60.0,3,2026-04-22T12:50:00+08:00
L_2000801009000A,59.0,4,2026-04-22T12:50:00+08:00
L_2000801009010A,49.0,5,2026-04-22T12:50:00+08:00
L_2000801011000A,49.0,5,2026-04-22T12:50:00+08:00
L_2000801105000A,42.0,5,2026-04-22T12:50:00+08:00
L_2000801106000A,36.0,6,2026-04-22T12:50:00+08:00
L_2000801107000A,61.0,3,2026-04-22T12:50:00+08:00
L_2000801109000A,54.0,4,2026-04-22T12:50:00+08:00
L_2000801109010A,51.0,4,2026-04-22T12:50:00+08:00
L_2000801110000A,46.0,5,2026-04-22T12:50:00+08:00
L_2000900000000A,-99.0,-99,2026-04-22T12:50:00+08:00
L_2000900000030A,63.0,3,2026-04-22T12:50:00+08:00
L_2000900000100A,81.0,1,2026-04-22T12:50:00+08:00
L_2000900000170A,78.0,1,2026-04-22T12:50:00+08:00
L_2000900000200A,83.0,1,2026-04-22T12:50:00+08:00
L_2000900000230A,76.0,1,2026-04-22T12:50:00+08:00
L_2000900000300A,72.0,1,2026-04-22T12:50:00+08:00
L_2000900000400A,74.0,1,2026-04-22T12:50:00+08:00
L_2000900000500A,67.0,2,2026-04-22T12:50:00+08:00
L_2000900000520A,64.0,3,2026-04-22T12:50:00+08:00
L_2000900000560A,-99.0,-99,2026-04-22T12:50:00+08:00
L_2000900000600A,77.0,1,2026-04-22T12:50:00+08:00
L_2000900000640A,-99.0,-99,2026-04-22T12:50:00+08:00
L_2000900100000A,60.0,3,2026-04-22T12:50:00+08:00
L_2000900100030A,60.0,3,2026-04-22T12:50:00+08:00
L_2000900100100A,79.0,1,2026-04-22T12:50:00+08:00
L_2000900100140A,78.0,1,2026-04-22T12:50:00+08:00
L_2000900100200A,-99.0,-99,2026-04-22T12:50:00+08:00
L_2000900100230A,59.0,4,2026-04-22T12:50:00+08:00
L_2000900100300A,77.0,1,2026-04-22T12:50:00+08:00
L_2000900100400A,78.0,1,2026-04-22T12:50:00+08:00
L_2000900100500A,77.0,1,2026-04-22T12:50:00+08:00
L_2000900100560A,84.0,1,2026-04-22T12:50:00+08:00
L_2000900100600A,79.0,1,2026-04-22T12:50:00+08:00
L_2000900100640A,77.0,1,2026-04-22T12:50:00+08:00
L_2000901001000A,44.0,5,2026-04-22T12:50:00+08:00
L_2000901003000A,50.0,4,2026-04-22T12:50:00+08:00
L_2000901004000A,53.0,4,2026-04-22T12:50:00+08:00
L_2000901006000A,56.0,4,2026-04-22T12:50:00+08:00
L_2000901006010A,64.0,3,2026-04-22T12:50:00+08:00
L_2000901102000A,43.0,5,2026-04-22T12:50:00+08:00
L_2000901103000A,51.0,4,2026-04-22T12:50:00+08:00
L_2000901104000A,64.0,3,2026-04-22T12:50:00+08:00
L_2000901104020A,-99.0,-99,2026-04-22T12:50:00+08:00
L_2000901106010A,51.0,4,2026-04-22T12:50:00+08:00
L_2001000000200A,55.0,4,2026-04-22T12:50:00+08:00
L_2001000000300A,55.0,4,2026-04-22T12:50:00+08:00
L_2001000000340A,74.0,1,2026-04-22T12:50:00+08:00
L_2001000000500A,62.0,3,2026-04-22T12:50:00+08:00
L_2001000000650A,65.0,2,2026-04-22T12:50:00+08:00
L_2001000000700A,-99.0,-99,2026-04-22T12:50:00+08:00
L_2001000000740A,64.0,3,2026-04-22T12:50:00+08:00
L_2001000100000A,52.0,4,2026-04-22T12:50:00+08:00
L_2001000100180A,58.0,4,2026-04-22T12:50:00+08:00
L_2001000100300A,61.0,3,2026-04-22T12:50:00+08:00
L_2001000100380A,54.0,4,2026-04-22T12:50:00+08:00
L_2001000100400A,62.0,3,2026-04-22T12:50:00+08:00
L_2001000100540A,61.0,3,2026-04-22T12:50:00+08:00
L_2001000100600A,68.0,2,2026-04-22T12:50:00+08:00
L_2001000100730A,62.0,3,2026-04-22T12:50:00+08:00
L_2001001001000A,61.0,3,2026-04-22T12:50:00+08:00
L_2001001007010A,66.0,2,2026-04-22T12:50:00+08:00
L_2001001008010A,50.0,4,2026-04-22T12:50:00+08:00
L_2001001012000A,50.0,4,2026-04-22T12:50:00+08:00
L_2001001012020A,47.0,5,2026-04-22T12:50:00+08:00
L_2001001016000A,51.0,4,2026-04-22T12:50:00+08:00
L_2001001016010A,35.0,6,2026-04-22T12:50:00+08:00
L_2001001017000A,26.0,6,2026-04-22T12:50:00+08:00
L_2001001018000A,79.0,1,2026-04-22T12:50:00+08:00
L_2001001108000A,27.0,6,2026-04-22T12:50:00+08:00
L_2001001114000A,54.0,4,2026-04-22T12:50:00+08:00
L_3000110100141A,-99.0,-99,2026-04-22T12:50:00+08:00
L_3000220000031A,-99.0,-99,2026-04-22T12:50:00+08:00
L_3000300000370A,-99.0,-99,2026-04-22T12:50:00+08:00
L_3000500100663A,-99.0,-99,2026-04-22T12:50:00+08:00
L_3000900000195A,-99.0,-99,2026-04-22T12:50:00+08:00
L_3000900100543A,-99.0,-99,2026-04-22T12:50:00+08:00
L_4010600003936A,-99.0,-99,2026-04-22T12:50:00+08:00
L_4010600103968A,-99.0,-99,2026-04-22T12:50:00+08:00
L_4011100000057A,-99.0,-99,2026-04-22T12:50:00+08:00
L_4011100100053A,-99.0,-99,2026-04-22T12:50:00+08:00
L_6000090000000A,-99.0,-99,2026-04-22T12:50:00+08:00
L_6000090000010A,44.0,1,2026-04-22T12:50:00+08:00
L_6000090400000A,-99.0,-99,2026-04-22T12:50:00+08:00
L_6000090400010A,37.0,2,2026-04-22T12:50:00+08:00
L_6000120000020A,-99.0,-99,2026-04-22T12:50:00+08:00
L_6000120400010A,41.0,1,2026-04-22T12:50:00+08:00
L_6000120400030A,-99.0,-99,2026-04-22T12:50:00+08:00
L_6000260000000A,50.0,1,2026-04-22T12:50:00+08:00
L_6000260000010A,-99.0,-99,2026-04-22T12:50:00+08:00
L_6000260400000A,49.0,1,2026-04-22T12:50:00+08:00
L_6000260400010A,22.0,5,2026-04-22T12:50:00+08:00
L_6000270000010A,-99.0,-99,2026-04-22T12:50:00+08:00
L_6000270000020A,52.0,1,2026-04-22T12:50:00+08:00
L_6000270400020A,47.0,1,2026-04-22T12:50:00+08:00
L_6000280000000A,55.0,1,2026-04-22T12:50:00+08:00
L_6000280000050A,43.0,1,2026-04-22T12:50:00+08:00
L_6000280400000A,53.0,1,2026-04-22T12:50:00+08:00
L_6000280400040A,55.0,1,2026-04-22T12:50:00+08:00
L_6000290000010A,47.0,1,2026-04-22T12:50:00+08:00
L_6000290000040A,-99.0,-99,2026-04-22T12:50:00+08:00
L_6000290400000A,41.0,1,2026-04-22T12:50:00+08:00
L_6000290400080A,-99.0,-99,2026-04-22T12:50:00+08:00
L_6000300000030A,52.0,1,2026-04-22T12:50:00+08:00
L_6000300000040A,41.0,1,2026-04-22T12:50:00+08:00
L_6000300400030A,40.0,1,2026-04-22T12:50:00+08:00
L_6000300400040A,44.0,1,2026-04-22T12:50:00+08:00
L_6000310000000A,61.0,1,2026-04-22T12:50:00+08:00
L_6000310000010A,48.0,1,2026-04-22T12:50:00+08:00
L_6000310000030A,43.0,1,2026-04-22T12:50:00+08:00
L_6000310400000A,53.0,1,2026-04-22T12:50:00+08:00
L_6000310400010A,40.0,1,2026-04-22T12:50:00+08:00
L_6000310400030A,40.0,1,2026-04-22T12:50:00+08:00
L_6000340000010A,38.0,2,2026-04-22T12:50:00+08:00
L_6000340000040A,77.0,1,2026-04-22T12:50:00+08:00
L_6000340400010A,45.0,1,2026-04-22T12:50:00+08:00
L_6000340400040A,46.0,1,2026-04-22T12:50:00+08:00
L_6000430200010A,44.0,1,2026-04-22T12:50:00+08:00
L_6000430200070A,46.0,1,2026-04-22T12:50:00+08:00
L_6000430200090A,-99.0,-99,2026-04-22T12:50:00+08:00
L_6000430200130A,-99.0,-99,2026-04-22T12:50:00+08:00
L_6000430600010A,64.0,1,2026-04-22T12:50:00+08:00
L_6000430600080A,51.0,1,2026-04-22T12:50:00+08:00
L_6000430600100A,-99.0,-99,2026-04-22T12:50:00+08:00
L_6000430600140A,-99.0,-99,2026-04-22T12:50:00+08:00
L_6000460300000A,53.0,1,2026-04-22T12:50:00+08:00
L_6000520300000A,-99.0,-99,2026-04-22T12:50:00+08:00
L_6000520300050A,42.0,1,2026-04-22T12:50:00+08:00
L_6000520700000A,-99.0,-99,2026-04-22T12:50:00+08:00
L_6000520700060A,40.0,1,2026-04-22T12:50:00+08:00
L_6000600200000A,38.0,2,2026-04-22T12:50:00+08:00
L_6000600200010A,44.0,1,2026-04-22T12:50:00+08:00
L_6000600600000A,50.0,1,2026-04-22T12:50:00+08:00
L_6000600600010A,48.0,1,2026-04-22T12:50:00+08:00
L_6000610200000A,45.0,1,2026-04-22T12:50:00+08:00
L_6000610200010A,35.0,2,2026-04-22T12:50:00+08:00
L_6000610600000A,38.0,2,2026-04-22T12:50:00+08:00
L_6000610600010A,50.0,1,2026-04-22T12:50:00+08:00
L_6000620200000A,46.0,1,2026-04-22T12:50:00+08:00
L_6000620200030A,-99.0,-99,2026-04-22T12:50:00+08:00
L_6000620200040A,-99.0,-99,2026-04-22T12:50:00+08:00
L_6000620600000A,51.0,1,2026-04-22T12:50:00+08:00
L_6000620600030A,-99.0,-99,2026-04-22T12:50:00+08:00
L_6000620600040A,52.0,1,2026-04-22T12:50:00+08:00
L_6000650500030A,36.0,2,2026-04-22T12:50:00+08:00
L_6000660500000A,42.0,1,2026-04-22T12:50:00+08:00
L_6000670000010A,32.0,3,2026-04-22T12:50:00+08:00
L_6000670400010A,48.0,1,2026-04-22T12:50:00+08:00
L_6000680000020A,39.0,2,2026-04-22T12:50:00+08:00
L_6000740300000A,-99.0,-99,2026-04-22T12:50:00+08:00
L_6000740300010A,-99.0,-99,2026-04-22T12:50:00+08:00
L_6000740700000A,-99.0,-99,2026-04-22T12:50:00+08:00
L_6000740700010A,-99.0,-99,2026-04-22T12:50:00+08:00
L_6000750200000A,34.0,3,2026-04-22T12:50:00+08:00
L_6000750200010A,35.0,2,2026-04-22T12:50:00+08:00
L_6000760200000A,34.0,3,2026-04-22T12:50:00+08:00
L_6000760200010A,35.0,2,2026-04-22T12:50:00+08:00
L_6000770200000A,37.0,2,2026-04-22T12:50:00+08:00
L_6000770200040A,30.0,3,2026-04-22T12:50:00+08:00
L_6000780200000A,37.0,2,2026-04-22T12:50:00+08:00
L_6000780200020A,38.0,2,2026-04-22T12:50:00+08:00
L_6000780600000A,42.0,1,2026-04-22T12:50:00+08:00
L_6000780600030A,29.0,4,2026-04-22T12:50:00+08:00
L_6000820200020A,48.0,1,2026-04-22T12:50:00+08:00
L_6000820200030A,39.0,2,2026-04-22T12:50:00+08:00
L_6000820600020A,43.0,1,2026-04-22T12:50:00+08:00
L_6000820600030A,49.0,1,2026-04-22T12:50:00+08:00
L_6000830000000A,-99.0,-99,2026-04-22T12:50:00+08:00
L_6000830000010A,33.0,3,2026-04-22T12:50:00+08:00
L_6000830000030A,32.0,3,2026-04-22T12:50:00+08:00
L_6000830000040A,47.0,1,2026-04-22T12:50:00+08:00
L_6000830400000A,-99.0,-99,2026-04-22T12:50:00+08:00
L_6000830400010A,20.0,5,2026-04-22T12:50:00+08:00
L_6000830400030A,26.0,4,2026-04-22T12:50:00+08:00
L_6000830400040A,53.0,1,2026-04-22T12:50:00+08:00
L_6000840000000A,29.0,4,2026-04-22T12:50:00+08:00
L_6000840000030A,32.0,3,2026-04-22T12:50:00+08:00
L_6000840000040A,-99.0,-99,2026-04-22T12:50:00+08:00
L_6000840000050A,25.0,4,2026-04-22T12:50:00+08:00
L_6000840400000A,38.0,2,2026-04-22T12:50:00+08:00
L_6000840400010A,-99.0,-99,2026-04-22T12:50:00+08:00
L_6000840400030A,-99.0,-99,2026-04-22T12:50:00+08:00
L_6000840400040A,33.0,3,2026-04-22T12:50:00+08:00
L_6000900A00000A,-99.0,-99,2026-04-22T12:50:00+08:00
L_6000900A00010A,-99.0,-99,2026-04-22T12:50:00+08:00
L_6000900A00030A,-99.0,-99,2026-04-22T12:50:00+08:00
L_6000900A00040A,-99.0,-99,2026-04-22T12:50:00+08:00
L_6000910200000A,36.0,2,2026-04-22T12:50:00+08:00
L_6000910200010A,27.0,4,2026-04-22T12:50:00+08:00
L_6000910200020A,38.0,2,2026-04-22T12:50:00+08:00
L_6000910200030A,-99.0,-99,2026-04-22T12:50:00+08:00
L_6000910200040A,-99.0,-99,2026-04-22T12:50:00+08:00
L_6000910200050A,-99.0,-99,2026-04-22T12:50:00+08:00
L_6000910600000A,28.0,4,2026-04-22T12:50:00+08:00
L_6000910600010A,28.0,4,2026-04-22T12:50:00+08:00
L_6000910600020A,34.0,3,2026-04-22T12:50:00+08:00
L_6000910600030A,-99.0,-99,2026-04-22T12:50:00+08:00
L_6000910600040A,-99.0,-99,2026-04-22T12:50:00+08:00
L_6000910600050A,-99.0,-99,2026-04-22T12:50:00+08:00
L_6000940200010A,39.0,2,2026-04-22T12:50:00+08:00
