LinkID,SectionName,RoadName,Direction,Length,Geometry
L_00001A1002050A,國道1號汐止五股高架道路(9CGHPL09到9CE5PKLX),國道1號汐止五股高架道路,S,0.4825,"LINESTRING(121.57226 25.07451,121.57235 25.07422,121.5724 25.0741,121.57262 25.07362,121.57273 25.07333,121.57277 25.07323,121.57288 25.07285,121.57294 25.07256,121.57297 25.0723,121.57297 25.07209,121.57295 25.07194,121.57294 25.07193,121.5729 25.07176,121.57288 25.07173,121.57282 25.07163,121.57276 25.07155,121.57265 25.07145,121.57259 25.0714,121.57259 25.07139,121.57249 25.07134,121.57238 25.0713,121.5723 25.07128,121.57221 25.07126,121.57219 25.07126,121.57201 25.07125,121.57149 25.07125)"
L_00001A1002060A,國道1號汐止五股高架道路(9CE5PKLX到9C5DPKM6),國道1號汐止五股高架道路,S,0.2807,"LINESTRING(121.57149 25.07125,121.5713 25.07126,121.57104 25.07127,121.5699 25.07132,121.56923 25.07134,121.56899 25.07133,121.56895 25.07133,121.56892 25.07133,121.56888 25.07133,121.56878 25.07133,121.56871 25.07133)"
L_00001A1102040A,國道1號汐止五股高架道路(9CNUPKDW到9CQAPKDV),國道1號汐止五股高架道路,N,0.0457,"LINESTRING(121.57425 25.06921,121.57448 25.0692,121.5747 25.0692)"
L_2000100000020A,水源快速道路(94RFPDSV到957WPDN7),水源快速道路,SE,0.5169,"LINESTRING(121.49367 25.01778,121.49405 25.01735,121.49415 25.01725,121.49426 25.01717,121.4944 25.01706,121.49455 25.01696,121.49464 25.0169,121.49478 25.01683,121.49491 25.01676,121.49503 25.01671,121.49515 25.01666,121.49522 25.01664,121.49542 25.01658,121.49543 25.01657,121.49552 25.01655,121.49557 25.01654,121.49558 25.01654,121.49561 25.01653,121.49563 25.01652,121.49565 25.01652,121.4957 25.0165,121.49571 25.0165,121.49574 25.01649,121.49581 25.01647,121.49591 25.01645,121.49592 25.01645,121.49611 25.0164,121.49632 25.01636,121.49651 25.01631,121.49661 25.0163,121.49674 25.01628,121.49691 25.01627,121.49703 25.01626,121.4972 25.01626,121.49736 25.01627,121.49746 25.01627,121.4976 25.01629,121.49776 25.0163,121.49786 25.01632,121.49806 25.01636,121.49824 25.01641)"
L_2000100000090A,水源快速道路(95BJPDPX到95EVPDSG),水源快速道路,SE,0.1344,"LINESTRING(121.49939 25.01691,121.49947 25.01695,121.49964 25.01706,121.50032 25.01754,121.50034 25.01755,121.50035 25.01756,121.50037 25.01758,121.50046 25.01764)"
L_2000100000120A,水源快速道路(95KAPDW0到968LPEC0),水源快速道路,SE,0.8187,"LINESTRING(121.50186 25.01864,121.50223 25.01885,121.50234 25.0189,121.50301 25.01918,121.50408 25.01963,121.50433 25.0198,121.50542 25.02052,121.50806 25.02228,121.50843 25.02253,121.50853 25.02259,121.50864 25.02266)"
L_2000100000260A,水源快速道路(96QRPEGK到96VSPEFT),水源快速道路,SE,0.164,"LINESTRING(121.51376 25.02397,121.51468 25.02391,121.51478 25.0239,121.51483 25.0239,121.51491 25.02389,121.51498 25.02388,121.51503 25.02386,121.51509 25.02385,121.51516 25.02383,121.51521 25.02381,121.51527 25.02379,121.51531 25.02377,121.51536 25.02375)"
L_2000100000320A,水源快速道路(9788PE6N到97HRPE4J),水源快速道路,SE,0.3129,"LINESTRING(121.51866 25.0211,121.51945 25.02094,121.52168 25.02047)"
L_2000100000350A,水源快速道路(97HRPE4J到97RTPDT5),水源快速道路,SE,0.4152,"LINESTRING(121.52168 25.02047,121.52211 25.02036,121.5224 25.0203,121.52247 25.02028,121.52255 25.02023,121.52259 25.02018,121.52261 25.02017,121.52262 25.02015,121.52263 25.02015,121.52266 25.02011,121.52269 25.02007,121.52366 25.01856,121.52422 25.01775)"
L_2000100000390A,水源快速道路(97RTPDT5到980DPDGA),水源快速道路,SE,0.4055,"LINESTRING(121.52422 25.01775,121.52437 25.01752,121.52564 25.01559,121.52629 25.01461)"
L_2000100000500A,水源快速道路(98DGPD0Q到98RJPCJ7),水源快速道路,SE,0.6267,"LINESTRING(121.53042 25.01009,121.5306 25.01003,121.53076 25.00997,121.53092 25.00989,121.53107 25.00982,121.53123 25.00974,121.5315 25.00959,121.53169 25.00946,121.5319 25.00932,121.53216 25.00912,121.5323 25.009,121.53235 25.00896,121.53237 25.00893,121.53238 25.00893,121.5324 25.0089,121.53242 25.00889,121.53244 25.00887,121.53247 25.00884,121.53248 25.00883,121.53249 25.00883,121.53253 25.00878,121.53258 25.00874,121.53258 25.00873,121.53261 25.00871,121.53278 25.00854,121.53288 25.00842,121.53292 25.00837,121.53295 25.00833,121.53302 25.0082,121.53306 25.00814,121.53339 25.00764,121.5337 25.00694,121.53403 25.0062,121.53423 25.00589)"
L_2000100000560A,水源快速道路(98RJPCJ7到98VFPC7E),水源快速道路,SE,0.3734,"LINESTRING(121.53423 25.00589,121.53429 25.00578,121.53454 25.00535,121.53495 25.00472,121.535 25.00464,121.53501 25.00461,121.5352 25.00416,121.53536 25.00366,121.53543 25.00325,121.53545 25.00295,121.53545 25.00276)"
